,Oración 1,Oración 2,Similitud
51,a los plátanos y los camotes preparados de esta forma y consumidos como postres se les puede considerar parte de la gastronomía mexicana.,se valora como parte de la gastronomía mexicana el postre de plátanos y camotes preparados de esta forma.,0.8739730715751648
52,"aunque, de vez en cuando, puede tomar por sorpresa a cualquier turista que recorre las calles y avenidas de la ciudad.",un retumbar que sin duda alguna espantará a cualquier persona no acostumbrada a la naturaleza de las calles de la metrópolis.,0.8755512237548828
53,"en realidad, se trata de pequeños vehículos metálicos y de tracción humana cuyo peso puede llegar hasta los 300 kilogramos.","recapitulamos a este vehículo sus características metálicas, 300 kilos de peso máximo, y la necesidad de la tracción humana.",0.8767122030258179
54,las tres ruedas tienen alma metálica para soportar el peso y están forradas de hule o caucho vulcanizado para contrarrestar la fricción.,"para lidiar con el alto peso del carrito, las ruedas están compuestas de un forro de hule o caucho que recubre un interior metálico, perfecto para lidiar con fricción.",0.8778006434440613
55,"hay que decir que ésta varía también en función de la velocidad con que es empujado el carrito, pues este horno rodante funciona alimentado por leña.","hay que decir que esto también varía según la velocidad a la que se empuja el carro, ya que este laminador funciona con madera.",0.8818564414978027
56,a los plátanos y los camotes preparados de esta forma y consumidos como postres se les puede considerar parte de la gastronomía mexicana.,"considerados como postres, los plátanos y los camotes preparados de esta manera forman parte del acervo gastronómico de méxico.",0.8833575248718262
57,el sonido que los distingue se llega a oír generalmente en las primeras horas de la noche y eso hace parte del atractivo de comerlos.,parte de lo llamativo a la hora de consumirlos radica en el retumbar del silbido al inicio de la noche.,0.8835791349411011
58,"salidos del horno, estos barrocos alimentos se sirven al consumidor con una cobertura que puede incluir leche condensada, mermelada, chocolate, entre otras cosas.","los complementos que el consumidor puede elegir como cobertura de estos postres, una vez horneados, van desde la leche condensada hasta el chocolate, dentro de una amplia variedad de otros aderezos.",0.885353147983551
59,las tres ruedas tienen alma metálica para soportar el peso y están forradas de hule o caucho vulcanizado para contrarrestar la fricción.,las tres ruedas son metálicas para aguantar la estructura y se cubren como llantas comunes para eliminar la fricción.,0.8858019113540649
60,y oler el dulce aroma que emana del carrito mientras observas la iluminada avenida por las luces nocturnas.,y captar el olor que proviene del artefacto al mismo tiempo que se aprecia la iluminación de las calles.,0.887435257434845
61,"a pesar de las dificultades y la disminución de las ventas con el tiempo, los camoteros son un dulce oficio que se resiste a extinguirse.","con el tiempo la venta de este postre tradicional ha disminuido y las dificultades se han presentado; sin embargo, el negocio de los camoteros se resiste a la extinción.",0.8913541436195374
62,"salidos del horno, estos barrocos alimentos se sirven al consumidor con una cobertura que puede incluir leche condensada, mermelada, chocolate, entre otras cosas.","estos productos recién horneados se venden con un aderezo dulce consistente de leche condensada, mermelada, chocolate o algún otro ingrediente.",0.8957585692405701
63,"los camoteros de la ciudad ofrecen generalmente frutos de piel púrpura y pulpa blanca, aunque también hay amarillos.","los camoteros suelen vender una variedad de cáscara morada e interior blanco, pero también existen los amarillentos.",0.8959751725196838
64,el vendedor ambulante empuja el carrito de los camotes para trasladarse entre las calles de la ciudad y comercializar su producto.,"el carrito se desplaza por las calles de la ciudad empujado por el comerciante, quien oferta su producto.",0.8962783813476562
65,"méxico tiene una amplia gama de tradiciones y costumbres. una bastante común en las ciudades es la del carrito de los camotes, identificado por su particular silbido.",el espectro de tradiciones y costumbres de la república mexicana es muy extenso. destaca entre ellas el habitual carrito de camotes que puede reconocerse por el silbido característico que emite.,0.8972808718681335
66,las tres ruedas tienen alma metálica para soportar el peso y están forradas de hule o caucho vulcanizado para contrarrestar la fricción.,"para resistir la fricción, la triada de ruedas de estructura metálica que soporta el peso de carrito están recubiertas de hule o caucho vulcanizado.",0.9005398750305176
67,"para lograr la cocción y la buena temperatura, los cajones del carrito deben estar cubiertos por una cama de cáscaras de plátano que sirve para mantener húmedo el producto.","una forma de conseguir una temperatura idónea es recubrir los compartimentos del carro con cáscaras de plátano, esto permite mantener húmedo al camote y al plátano.",0.9018343091011047
68,plátanos y camotes se cuecen en ese artefacto rodante en un tiempo que oscila entre los treinta y los sesenta minutos dependiendo de la temperatura que alcance la caldera.,los comestibles pasan entre treinta y sesenta minutos en el horno del carrito hasta que alcanzan su cocción ideal; el tiempo depende de la potencia de la caldera.,0.9018463492393494
69,el vendedor ambulante empuja el carrito de los camotes para trasladarse entre las calles de la ciudad y comercializar su producto.,"la compra y venta de este producto se encuentra en las calles mismas de la ciudad, siendo el camotero quien le da dirección al vehículo.",0.9019922614097595
70,el sonido que los distingue se llega a oír generalmente en las primeras horas de la noche y eso hace parte del atractivo de comerlos.,parte del encanto del carrito de camotes radica en el distintivo silbido que se escucha durante las primeras horas nocturnas.,0.9020445346832275
71,"los camoteros de la ciudad ofrecen generalmente frutos de piel púrpura y pulpa blanca, aunque también hay amarillos.","a pesar de la existencia de camotes amarillos, la especie de camote que se encuentra con mayor frecuencia entre los camoteros de la ciudad es la de piel púrpura y pulpa blanca.",0.9032921195030212
72,"aunque, de vez en cuando, puede tomar por sorpresa a cualquier turista que recorre las calles y avenidas de la ciudad.","aun así, alguna vez pueden sorprender a los turistas mientras caminan por las avenidas o las calles de la ciudad.",0.905799150466919
73,plátanos y camotes se cuecen en ese artefacto rodante en un tiempo que oscila entre los treinta y los sesenta minutos dependiendo de la temperatura que alcance la caldera.,"dependiendo de la temperatura del horno, los plátanos y boniatos dentro del carrito se terminan de cocer entre la media hora y una hora.",0.9059381484985352
74,el sonido que los distingue se llega a oír generalmente en las primeras horas de la noche y eso hace parte del atractivo de comerlos.,"el peculiar silbido del carrito acompaña las primeras de la noche, esto es parte del atractivo que invita a comer los dulces postres.",0.9061219096183777
75,plátanos y camotes se cuecen en ese artefacto rodante en un tiempo que oscila entre los treinta y los sesenta minutos dependiendo de la temperatura que alcance la caldera.,"los camotes y los plátanos se cuecen aproximadamente en media o una hora, según la temperatura de la caldera.",0.9064996242523193
76,"hay que decir que ésta varía también en función de la velocidad con que es empujado el carrito, pues este horno rodante funciona alimentado por leña.","este tiempo llega a varias dependiendo de la rapidez con la que el carrito es empujado, ya que dicho horno funciona a través de leña.",0.9065671563148499
77,"los camotes y los plátanos son servidos en una servilleta de papel sobre platos desechables. suelen comerse con crema de leche azucarada, canela en polvo y se acompañan con leche.","en una servilleta de papel, sobre un plato desechable se sirven los frutos. es común comerlos con crema azucarada y canela, y beber leche para acompañarlos.",0.9069797396659851
78,el sonido que los distingue se llega a oír generalmente en las primeras horas de la noche y eso hace parte del atractivo de comerlos.,"el ruido característico de estos carritos se escucha normalmente al anochecer, lo que forma parte de la tradición.",0.9076547026634216
79,"por su parte, el camote es un tubérculo cuyo cultivo estaba extendido por todo el continente antes de la conquista.","por otro lado, el cultivo de camote era común en todo el continente desde tiempos anteriores a la conquista.",0.910666823387146
80,"a pesar de las dificultades y la disminución de las ventas con el tiempo, los camoteros son un dulce oficio que se resiste a extinguirse.","sin importar los bajones en venta y consumo en tiempos recientes, el trabajo de vendedor de camotes se rehúsa a desaparecer de nuestra vida.",0.9107000231742859
81,el carrito está fabricado primordialmente de acero; es prácticamente cilíndrico y se le han incorporado ruedas.,el carro estaba hecho principalmente de acero; es prácticamente el cilindro y la rueda los que se  han combinado.,0.9108565449714661
82,"como el carrito mantiene el calor, el vapor que genera es empleado para silbar fuerte y distintivamente.","cuando el vehículo retiene el calor, el vapor generado por el vehículo se utiliza para aullar fuerte y claramente.",0.9138318300247192
83,y oler el dulce aroma que emana del carrito mientras observas la iluminada avenida por las luces nocturnas.,"asimismo, disfrutar de la vista de las luces que acarician la avenida, mientras entra por tus fosas nasales el exquisito olor proveniente del carrito.",0.9145051836967468
84,"en el carrito, se transportan dos productos característicos: camotes (batatas o boniatos) y plátanos.",en la carreta se transportan dos productos específicos: camellos (batatas o boniatos) y plátanos.,0.9157664775848389
85,y oler el dulce aroma que emana del carrito mientras observas la iluminada avenida por las luces nocturnas.,y huele el dulce perfume que emana del tranvía mientras contemplas el bulevar iluminado por las luces nocturnas.,0.9159665703773499
86,"para lograr la cocción y la buena temperatura, los cajones del carrito deben estar cubiertos por una cama de cáscaras de plátano que sirve para mantener húmedo el producto.","para tener el producto en condiciones óptimas, los contenedores del artefacto deben recubrirse con una capa piel de plátano.",0.9163870215415955
87,"por su parte, el camote es un tubérculo cuyo cultivo estaba extendido por todo el continente antes de la conquista.","a su vez, el camote es un tubérculo que ya era un cultivo propagado en el continente antes del dominio español.",0.9178162813186646
88,"hay que decir que ésta varía también en función de la velocidad con que es empujado el carrito, pues este horno rodante funciona alimentado por leña.","esta caldera logra servir por el fuego generado por leña, por lo que la temperatura depende de la velocidad de empuje que tiene el carrito.",0.9193753600120544
89,"quizá la forma de comercio sea más particular de las ciudades, incluyendo la ciudad de méxico, pero los productos son procedentes de áreas agrícolas del interior de la república.","es probable que este estilo de venta sea más propio de las regiones urbanas, como la capital, aunque estos frutos son originarios de zonas rurales.",0.9199645519256592
90,"en realidad, se trata de pequeños vehículos metálicos y de tracción humana cuyo peso puede llegar hasta los 300 kilogramos.","de hecho, se trata de pequeños vehículos metálicos, impulsados ​​por fuerza humana, que pesan hasta  300 kg.",0.9221130013465881
91,"se trata de una tradición gastronómica mestiza, pues los plátanos son de origen asiático, originalmente introducido en las islas canarias que llegó a la américa continental.","es una tradición culinaria mestiza, ya que los plátanos son originarios de asia, originalmente introducidos en las islas canarias al continente americano.",0.9234282970428467
92,a los plátanos y los camotes preparados de esta forma y consumidos como postres se les puede considerar parte de la gastronomía mexicana.,los plátanos y  camotes preparados  y consumidos como postre pueden considerarse parte de la cocina mexicana.,0.9248395562171936
93,"para lograr la cocción y la buena temperatura, los cajones del carrito deben estar cubiertos por una cama de cáscaras de plátano que sirve para mantener húmedo el producto.",la humedad del producto se mantiene gracias a un recubrimiento de cáscaras de plátano sobre los cajones que almacenan el producto; esto garantiza la temperatura y cocción adecuadas.,0.925072968006134
94,"los camotes y los plátanos son servidos en una servilleta de papel sobre platos desechables. suelen comerse con crema de leche azucarada, canela en polvo y se acompañan con leche.","los frutos se presentan en una servilleta sobre un desechable. frecuentemente son acompañados con lechera, canela y, para tomar, una bebida láctea.",0.9251787662506104
95,plátanos y camotes se cuecen en ese artefacto rodante en un tiempo que oscila entre los treinta y los sesenta minutos dependiendo de la temperatura que alcance la caldera.,"según la temperatura que pueda alcanzar interiormente el carrito, los frutos tardan entre media y una hora en cocinarse.",0.9255440831184387
96,el vendedor ambulante empuja el carrito de los camotes para trasladarse entre las calles de la ciudad y comercializar su producto.,un vendedor ambulante empuja un carro de batatas entre las calles de la ciudad y comercializa su producto.,0.9274702668190002
97,"se trata de una tradición gastronómica mestiza, pues los plátanos son de origen asiático, originalmente introducido en las islas canarias que llegó a la américa continental.","los plátanos provienen originalmente de asia, y fueron traídos inicialmente a las islas canarias y posteriormente se introdujeron a tierras continentales, por lo que se trata de una tradición gastronómica intercultural.",0.9279066324234009
98,"salidos del horno, estos barrocos alimentos se sirven al consumidor con una cobertura que puede incluir leche condensada, mermelada, chocolate, entre otras cosas.","una vez que los camotes salen del horno, el consumidor puede disfrutar su postre con una cubierta de leche condensada, mermelada, chocolate, entre otras opciones.",0.9280815720558167
99,"méxico tiene una amplia gama de tradiciones y costumbres. una bastante común en las ciudades es la del carrito de los camotes, identificado por su particular silbido.","en méxico hay una gran variedad de costumbres y tradiciones. una de ellas son los carritos de camotes, los cuales se distinguen por su silbido característico.",0.9296160936355591
100,"en la parte alta del carrito, existe una superficie que el camotero utiliza para colocar los aderezos, poner al alcance de la mano las monedas y preparar sus productos.","en la sección superior del artefacto hay una base que sirve para contener las salsas, dejar las monedas y servir los frutos.",0.9300373792648315
101,"en la parte alta del carrito, existe una superficie que el camotero utiliza para colocar los aderezos, poner al alcance de la mano las monedas y preparar sus productos.","el carrito mismo viene equipado con una superficie para la preparación del platillo, cuenta con espacio para los aderezos y para que el vendedor reciba y regrese dinero durante la compra.",0.9303266406059265
102,las tres ruedas tienen alma metálica para soportar el peso y están forradas de hule o caucho vulcanizado para contrarrestar la fricción.,sus tres ruedas están forradas de caucho vulcanizado para contrarrestar la fricción y tienen un alma de metal que les permite soportar todo el peso.,0.9303390979766846
103,"méxico tiene una amplia gama de tradiciones y costumbres. una bastante común en las ciudades es la del carrito de los camotes, identificado por su particular silbido.","méxico posee una selección extensa de prácticas culturales. en las zonas urbanas, que haya vendedores ambulantes de camotes es algo muy normal y es reconocible por su distintivo sonido.",0.9307671189308167
104,el sonido que los distingue se llega a oír generalmente en las primeras horas de la noche y eso hace parte del atractivo de comerlos.,el sonido que los caracteriza se escucha generalmente cuando comienza la noche y eso forma parte del atractivo de comerlos.,0.9328559637069702
105,"a pesar de las dificultades y la disminución de las ventas con el tiempo, los camoteros son un dulce oficio que se resiste a extinguirse.","el grato trabajo de los vendedores de camotes desafía los contratiempos y el debilitamiento de las ganancias debido al bajo consumo, y el oficio se resiste a la extinción.",0.9334243535995483
106,"se trata de una tradición gastronómica mestiza, pues los plátanos son de origen asiático, originalmente introducido en las islas canarias que llegó a la américa continental.","resulta en una tradicional mezcla gastronómica, ya que los plátanos provienen de asia, originalmente introducidos en las islas canarias y que llegaron al continente americano.",0.9339749813079834
107,"se trata de una tradición gastronómica mestiza, pues los plátanos son de origen asiático, originalmente introducido en las islas canarias que llegó a la américa continental.","esta es una costumbre resultante de la colonia, ya que los plátanos provienen de asia, pero primero fueron llevados a las canarias y de ahí a américa.",0.9367603063583374
108,el vendedor ambulante empuja el carrito de los camotes para trasladarse entre las calles de la ciudad y comercializar su producto.,el vendedor ambulante recorre las calles de la ciudad empujado su carrito y ofreciendo su producto.,0.938174307346344
109,a los plátanos y los camotes preparados de esta forma y consumidos como postres se les puede considerar parte de la gastronomía mexicana.,podríamos decir que los platillos que se sirven y degustan de esta manera forman parte de la comida típica de méxico.,0.9381937384605408
110,el vendedor ambulante empuja el carrito de los camotes para trasladarse entre las calles de la ciudad y comercializar su producto.,el camotero avanza con el stand por los caminos de la ciudad y vende sus platillos.,0.9384018778800964
111,"se trata de una tradición gastronómica mestiza, pues los plátanos son de origen asiático, originalmente introducido en las islas canarias que llegó a la américa continental.","estos elementos culturales son un ejemplo de la mezcla gastronómica mundial, los plátanos tienen raíces en asia, llegaron a las islas canarias en españa y subsecuentemente llegaron a américa.",0.9385512471199036
112,"en la parte alta del carrito, existe una superficie que el camotero utiliza para colocar los aderezos, poner al alcance de la mano las monedas y preparar sus productos.","el camotero dispone los aderezos sobre una plancha en la parte superior del carrito, donde también finaliza la preparación de los productos y guarda cambio en monedas.",0.9395995140075684
113,plátanos y camotes se cuecen en ese artefacto rodante en un tiempo que oscila entre los treinta y los sesenta minutos dependiendo de la temperatura que alcance la caldera.,en esta laminadora se cocinan plátanos y boniatos durante un tiempo que oscila entre 30 y 60 minutos dependiendo de la temperatura que alcance la caldera.,0.9400452375411987
114,"para lograr la cocción y la buena temperatura, los cajones del carrito deben estar cubiertos por una cama de cáscaras de plátano que sirve para mantener húmedo el producto.","para que los alimentos logren una buena cocción y temperatura, los cajones del carrito deben ser tapados con una cama de cáscaras de plátano.",0.9422925114631653
115,"los camoteros de la ciudad ofrecen generalmente frutos de piel púrpura y pulpa blanca, aunque también hay amarillos.","en la ciudad de méxico estos comerciantes tienen a la venta productos con un color de piel y pulpa definido, púrpura y blanca respectivamente, de igual manera existen variaciones amarillas.",0.9425315856933594
116,el sonido que los distingue se llega a oír generalmente en las primeras horas de la noche y eso hace parte del atractivo de comerlos.,el sonido que las distingue se suele escuchar en las primeras horas de la noche y esto es parte del atractivo de comerlas.,0.9425773024559021
117,"para lograr la cocción y la buena temperatura, los cajones del carrito deben estar cubiertos por una cama de cáscaras de plátano que sirve para mantener húmedo el producto.",los cajones del carrito se cubren con una cama de cáscaras de plátano. esto sirve para lograr una buena cocción y una temperatura adecuada y además mantiene húmedos los productos.,0.943250298500061
118,"los camoteros de la ciudad ofrecen generalmente frutos de piel púrpura y pulpa blanca, aunque también hay amarillos.","a pesar de que también existen camotes de piel amarilla, los camoteros usualmente ofrecen los de piel morada o y blanca.",0.9437463879585266
119,"en realidad, se trata de pequeños vehículos metálicos y de tracción humana cuyo peso puede llegar hasta los 300 kilogramos.","el peso de estos vehículos de tracción humana, compuestos prácticamente de metal, alcanza hasta los 300 kilogramos.",0.9449498057365417
120,"los camotes y los plátanos son servidos en una servilleta de papel sobre platos desechables. suelen comerse con crema de leche azucarada, canela en polvo y se acompañan con leche.","batatas y plátanos servidos en toallas de papel en platos desechables. suelen comerse con crema de leche azucarada, canela en polvo y acompañadas de leche.",0.9463173151016235
121,"hay que decir que ésta varía también en función de la velocidad con que es empujado el carrito, pues este horno rodante funciona alimentado por leña.","cabe destacar que la temperatura varía de acuerdo con la velocidad con que es empujado el carrito, ya que la leña que alimenta el horno depende del movimiento rodante de éste.",0.9469066262245178
122,las tres ruedas tienen alma metálica para soportar el peso y están forradas de hule o caucho vulcanizado para contrarrestar la fricción.,las tres ruedas tienen centros metálicos que ayudan a soportar el peso y están forradas de hule para disminuir la fricción.,0.947394847869873
123,"salidos del horno, estos barrocos alimentos se sirven al consumidor con una cobertura que puede incluir leche condensada, mermelada, chocolate, entre otras cosas.","sacados del horno, estos alimentos se sirven al cliente con una cubierta de leche condensada, mermelada, chocolate, etcétera.",0.947736918926239
